stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4880,0156,Будинок меблів (0156),"вул. Любінська (вул. Зоряна, 4)",49.824968,23.979067
4881,0536,Окружна (0536),вул. Любінська 60,49.827376,23.983150
4882,0147,Будинок меблів (0147),вул. Любінська 96,49.823965,23.976738
4883,0149,Караджича (0149),вул. Любінська 102,49.822089,23.972683
4884,0680,Церква Святої Анни (0680),вул. Т. Шевченка 24,49.843151,24.015008
4885,0681,Мудрого (0681),вул. Т. Шевченка 52,49.844389,24.011373
4886,0682,Турянського (0682),вул. Т. Шевченка 94,49.847219,24.002804
4887,0683,Єрошенка (0683),вул. Т. Шевченка 114,49.848150,23.999972
4888,0163,Левандівське озеро (0163),вул. Повітряна 2Б,49.846344,23.985198
4889,0157,Олесницького (0157),вул. Повітряна 20,49.845355,23.978294
4890,0160,Пілотів (0160),вул. Повітряна 66,49.844509,23.971905
4891,0159,Пілотів (0159),вул. Повітряна 65,49.844388,23.971694
4892,0158,Є. Олесницького (0158),вул. Повітряна 31,49.845247,23.978187
4893,0162,Левандівське озеро (0162),вул. Повітряна 1А,49.846248,23.985380
4894,0141,Естонська (0141),вул. Левандівська (навпроти №3),49.846884,23.990348
4895,0183,Єрошенка (0183),вул. Т. Шевченка 77,49.848018,24.000176
4896,0182,Турянського (0182),вул. Т. Шевченка 53,49.847057,24.003062
4897,0077,Мудрого (0077),вул. Т. Шевченка 3А,49.844303,24.011253
4898,0253,АС6 (0253),"вул. Личаківська, 152",49.835872,24.070913
4899,0030,Шухевича (0030),вул. І. Франка 8,49.836654,24.034894
4901,0080,Стрийський ринок (0080),вул. Ш. Руставелі 42,49.829668,24.032244
4902,0076,Академія сухопутних військ (0076),вул. Стрийська (монумент слави),49.825141,24.022969
4903,0558,Дитяча залізниця (0558),вул. Стрийська 72,49.820528,24.020228
4904,0566,Податкова (0566),"вул. Стрийська (вул. Академіка Лазаренка, 2)",49.814945,24.019665
4905,0428,Податкова (0428),вул. Стрийська 35,49.815149,24.019922
4906,0075,Дитяча залізниця (0075),вул. Стрийська (вхід в парк),49.820241,24.020432
4907,0567,Академія сухопутних військ (0567),"вул. Стрийська (вул. Героїв Майдану, 32)",49.824120,24.020624
4909,0292,Ш. Руставелі (0292),вул. Ш/ Руставелі (навпроти № 4),49.833934,24.035425
4910,0240,пл. Митна (0240),вул. Личаківська 2,49.839747,24.037212
4911,0241,Військовий госпіталь (0241),"вул. Личаківська, 28",49.840221,24.043327
4912,0243,Кармалюка (0243),вул. Личаківська 52,49.839806,24.049845
4914,,Богдана Котика (0249),вул. Личаківська 112,49.837439,24.059711
4915,0272,Фабрика повидла (0272),"вул. Механічна (вул. Б.Хмельницького, 122)",49.855266,24.045390
4916,0273,Корейська (0273),вул. Новознесенська 34,49.855513,24.053439
4917,0229,Милятинська (0229),вул. Ковельська 50,49.857506,24.057382
4918,0288,Ковельська (0288),вул. Пластова 4,49.859377,24.060670
4919,0199,Авторинок (0199),вул. Богданівська 11,49.854808,24.076022
4920,0203,Гайдучка (0203),вул. Богданівська (навпроти № 100),49.852854,24.077547
4921,0201,Старознесенська (0201),"вул. Богданівська (вул. Старознесенська, 161)",49.849194,24.083147
4922,0213,Богданівська (0213),вул. Глинянський Тракт (навпроти № 70),49.840172,24.084671
4923,0377,ДБК (0377),"вул. Зелена, 251",49.805938,24.062306
4924,0279,Таджицька (0279),вул. Пасічна 42,49.830104,24.069065
4926,0287,Ярошинської (0287),"вул. Пасічна (навпроти вул. Є.Ярошинської, 2)",49.821829,24.075181
4927,0214,ТЦ Метро-2 (0214),вул. Дж. Вашингтона 21,49.814485,24.075991
